"","date_fmt","north_east","north_west","yorkshire_and_the_humber","east_midlands","west_midlands","east","london","south_east","south_west"
"1",2011-01-01,110800,120876,121396,131361,140278,187409,308301,218315,182406
"2",2011-02-01,110514,120001,123137,132133,138359,185272,305350,218828,181130
"3",2011-03-01,109475,118899,120256,131333,137136,186529,307347,217406,181050
"4",2011-04-01,113001,120511,124045,132018,139389,187388,314735,219824,181691
"5",2011-05-01,113513,119816,123973,132368,139514,187664,304810,220226,180882
"6",2011-06-01,113222,119566,122632,132685,139624,187093,306078,220815,182891
"7",2011-07-01,111277,121233,123457,134868,139985,189751,316716,223680,184599
"8",2011-08-01,110658,122225,124601,135410,139984,190567,315709,222006,185275
"9",2011-09-01,110918,121416,123816,133771,141393,188774,316197,222908,182896
"10",2011-10-01,109974,120674,121648,132402,138671,188720,312887,219955,183152
"11",2011-11-01,110721,118507,122217,132729,139641,189577,311570,221389,182349
"12",2011-12-01,109112,119152,121997,133580,137537,188765,312906,221026,180895
"13",2012-01-01,106921,117050,119314,131314,138919,189852,315128,219302,183323
"14",2012-02-01,107716,118474,120390,131057,137525,188281,313010,220135,183044
"15",2012-03-01,110337,118948,121015,131946,138639,187072,310866,220747,181525
"16",2012-04-01,109778,119380,120521,133308,138363,190794,320165,224907,184271
"17",2012-05-01,109371,118612,122024,133126,138015,191630,325535,225195,183733
"18",2012-06-01,111115,120801,123282,134289,141449,191456,328471,226072,185129
"19",2012-07-01,110824,120075,123459,135757,141148,194079,330760,228480,186786
"20",2012-08-01,113295,121104,124037,134611,141150,194117,331918,229580,185340
"21",2012-09-01,111825,120949,122905,134099,140984,192957,330232,230180,184995
"22",2012-10-01,110557,118182,121624,134228,139530,193648,332172,226623,185136
"23",2012-11-01,110483,119974,122630,134340,140755,192932,330308,226257,184755
"24",2012-12-01,108670,118987,122079,133825,141135,191994,335880,227569,181353
"25",2013-01-01,107464,115931,118140,132438,138856,192142,333332,226909,183206
"26",2013-02-01,105972,118279,120571,132498,139301,190370,335672,225549,182642
"27",2013-03-01,108955,118157,120177,133425,139792,194147,334322,226994,183856
"28",2013-04-01,109114,118665,120459,134150,140115,194595,343563,229580,186599
"29",2013-05-01,109606,119195,122386,135785,141065,193843,345065,230065,186128
"30",2013-06-01,109413,120605,123042,136126,143119,196002,347414,232729,186532
"31",2013-07-01,112174,120710,123746,137251,143967,199137,356482,235515,188269
"32",2013-08-01,113740,122403,124181,138691,145234,200041,359430,236276,189653
"33",2013-09-01,112720,122287,125379,138231,143463,199877,364517,236916,191153
"34",2013-10-01,106785,120126,123271,139089,144768,201547,364036,237086,190381
"35",2013-11-01,110180,121021,124027,138201,145071,200471,368002,239013,190595
"36",2013-12-01,110007,122233,125434,140532,145562,205065,376865,240777,191692
"37",2014-01-01,108358,120781,123797,139876,145700,203602,380935,242778,191343
"38",2014-02-01,108598,122252,125717,141302,144826,205151,383125,243134,192051
"39",2014-03-01,110048,121034,124055,141019,146712,206108,386898,245206,193627
"40",2014-04-01,111939,124342,127562,143784,148662,210280,401818,248969,196976
"41",2014-05-01,112221,124825,128358,144447,149120,213895,409706,253291,196985
"42",2014-06-01,114685,126439,128390,145839,151047,215704,414499,255353,197646
"43",2014-07-01,114743,127145,129943,146999,151370,219457,426870,259645,201750
"44",2014-08-01,114790,128635,131536,149286,153762,221782,433311,263224,204353
"45",2014-09-01,113770,128468,129715,149507,153226,223836,432150,265157,205994
"46",2014-10-01,112226,127847,130492,148455,153143,224885,430684,265506,204759
"47",2014-11-01,112377,127364,130165,148299,153006,223944,429081,264953,203453
"48",2014-12-01,112396,127201,131019,148199,153470,224758,431324,266210,204203
"49",2015-01-01,110842,126599,128167,147972,151953,225847,431270,266846,205460
"50",2015-02-01,112138,127622,128943,148493,153587,226943,433331,266564,202730
"51",2015-03-01,111241,125873,129645,148992,152538,227055,433259,267089,204718
"52",2015-04-01,115045,127729,130300,149909,154951,229445,439403,270576,207065
"53",2015-05-01,114110,129973,133330,151863,155734,232551,445154,273192,207988
"54",2015-06-01,115977,129481,133535,153067,157432,233631,449070,277300,210000
"55",2015-07-01,116059,131688,136228,155205,158976,239245,462097,281987,212376
"56",2015-08-01,116959,132574,136774,157157,160744,241945,466924,285507,215432
"57",2015-09-01,116659,132859,136136,156162,160483,244652,470754,286519,216615
"58",2015-10-01,114964,132220,135844,157700,160445,245823,471562,288613,216413
"59",2015-11-01,116401,132916,136513,158364,161709,249124,476915,290685,218598
"60",2015-12-01,116936,132950,136979,158962,162107,250225,481806,293496,218950
"61",2016-01-01,114570,133204,136097,158831,162549,252519,489741,295893,218652
"62",2016-02-01,114559,133083,136539,158290,161537,252732,490055,297843,219595
"63",2016-03-01,116217,131630,135373,159052,162120,256923,497430,302466,225467
"64",2016-04-01,115881,136500,139439,161689,165621,256970,493598,299958,219704
"65",2016-05-01,117976,137497,139973,162514,167331,261564,500467,303474,223257
"66",2016-06-01,120059,137892,141514,163785,169235,264489,501147,307427,225556
"67",2016-07-01,120828,139906,142441,165414,169439,267798,509080,311400,227453
"68",2016-08-01,119319,139750,142584,166249,171371,268266,505256,312319,228579
"69",2016-09-01,118057,139624,141674,166849,171253,270191,505052,309748,228885
"70",2016-10-01,117519,138036,141522,166085,169557,269689,504240,310316,227406
"71",2016-11-01,118179,139331,142333,167427,171646,270473,504074,310189,228886
"72",2016-12-01,119525,139179,143617,168191,172049,273009,505701,311517,228054
"73",2017-01-01,115477,139003,140165,166547,170924,272123,509175,315255,230507
"74",2017-02-01,117401,140482,141864,168619,171917,274329,510351,312371,230810
"75",2017-03-01,115290,139230,140865,168470,171928,272504,508986,312789,229946
"76",2017-04-01,118166,141652,144242,171346,173718,276523,513641,315949,232109
"77",2017-05-01,120226,142498,145465,172332,175430,279053,514831,317693,234080
"78",2017-06-01,121193,144298,146646,173524,177360,280366,514028,320765,236500
"79",2017-07-01,121086,145880,147317,176382,179279,284682,522994,323510,240231
"80",2017-08-01,122746,147268,148788,175988,181244,284475,521450,325527,241705
"81",2017-09-01,120655,146802,148653,177002,180249,285274,517969,325029,240679
"82",2017-10-01,121660,146383,147677,177222,180841,285404,515752,324496,242236
"83",2017-11-01,120275,146851,147857,177154,180640,284088,509894,322627,240656
"84",2017-12-01,123106,147837,149125,178086,182389,285947,510491,323152,240621
"85",2018-01-01,117478,144796,146727,177732,179879,285873,513622,323399,243733
"86",2018-02-01,119630,146586,146544,180294,182596,285219,511574,323799,242054
"87",2018-03-01,117354,144823,147271,177993,182017,283450,505683,322289,241882
"88",2018-04-01,121414,146818,148179,180334,183260,284595,510925,323777,241533
"89",2018-05-01,121896,147799,150166,181826,183187,285156,512244,324252,242381
"90",2018-06-01,121148,149186,151054,182243,185664,286389,513792,327114,243801
"91",2018-07-01,124172,151077,152499,184142,187973,290809,518923,329558,247941
"92",2018-08-01,123349,151772,154445,185470,188413,290907,513384,330535,249459
"93",2018-09-01,123205,151750,152649,186856,189719,289461,510167,329521,249819
"94",2018-10-01,123712,152467,152245,184561,189577,289927,513927,326923,247946
"95",2018-11-01,121948,151860,151982,185825,188115,290306,507814,325704,247975
"96",2018-12-01,121760,151471,152603,184588,190053,287775,506642,323540,247636
"97",2019-01-01,118687,150205,150919,184148,187207,285588,503232,324657,245759
"98",2019-02-01,117822,150818,149924,183910,188998,286748,498951,322509,246349
"99",2019-03-01,117948,149518,151324,183521,186786,283751,496910,319521,244233
"100",2019-04-01,121919,150992,152328,184470,187187,284922,502664,321318,244108
"101",2019-05-01,121907,152604,152676,184812,188648,285640,496339,320650,243728
"102",2019-06-01,122531,152440,154041,184910,188338,285274,503716,323255,243886
"103",2019-07-01,122847,154588,155294,186307,189292,288264,512265,324982,249181
"104",2019-08-01,124357,156053,155819,188104,191810,287428,506081,325154,249320
"105",2019-09-01,124808,155419,155723,187643,191964,288709,510810,326204,249763
"106",2019-10-01,122347,155204,156458,187487,191493,287808,506016,324716,249635
"107",2019-11-01,122515,154553,155187,187649,191610,285806,501829,324631,247600
"108",2019-12-01,122342,153685,155920,187279,189892,287478,512959,323702,247416
"109",2020-01-01,120484,153141,154883,187868,192534,285803,509527,324130,248521
"110",2020-02-01,120149,153325,154695,186308,190536,285943,507956,320582,247281
"111",2020-03-01,121391,155025,155643,188446,191171,285012,516654,325604,250417
"112",2020-04-01,116581,152528,150730,187949,186802,287501,509754,327607,247576
"113",2020-05-01,121101,152857,155276,187382,191668,287030,506613,323236,247280
"114",2020-06-01,122678,157055,158072,191136,192792,288667,513833,324453,250343
"115",2020-07-01,123730,159413,158824,193004,194896,289067,517966,328205,254397
"116",2020-08-01,124454,161286,160951,193470,197176,292992,523954,331902,255918
"117",2020-09-01,127530,162250,161730,194142,198500,296829,528003,334430,260328
"118",2020-10-01,127455,165484,164114,196846,199951,295661,520515,334997,262275
"119",2020-11-01,129955,166199,167676,199379,201428,296868,529444,339278,263680
"120",2020-12-01,131490,169085,168778,201798,204521,300749,529060,340233,266843
"121",2021-01-01,132623,170526,170388,202133,204427,298036,529101,337566,263614
"122",2021-02-01,133797,173134,171334,204514,207062,299321,525153,337619,264702
"123",2021-03-01,136174,175992,172745,205588,208998,301495,534311,342322,268671
"124",2021-04-01,133960,172587,169361,202601,205873,298764,523423,339163,265562
"125",2021-05-01,133791,172994,171213,203546,207432,299192,522672,340283,262927
"126",2021-06-01,145095,187330,184117,215392,220796,312775,538199,354769,281947
"127",2021-07-01,134393,171845,169009,202813,208050,299492,529788,339769,258746
"128",2021-08-01,137004,178467,174892,209343,213267,309904,545831,350795,272401
"129",2021-09-01,146908,187266,183852,217444,219567,316815,541876,361613,283935
"130",2021-10-01,136801,177157,173741,212790,212178,312253,539606,354140,276090
"131",2021-11-01,138405,182712,179074,216112,217691,319183,547647,360386,284105
"132",2021-12-01,140230,185573,180680,218318,220926,319855,547837,362713,285237
"133",2022-01-01,140576,186704,182226,219956,221008,322537,550635,368184,291018
"134",2022-02-01,140762,187066,183698,221012,223616,326141,551066,367655,291034
"135",2022-03-01,143435,187958,183085,222760,225611,325283,550480,369755,291647
"136",2022-04-01,144411,191021,184986,224769,226561,328825,554765,370658,296983
"137",2022-05-01,145424,192942,189205,226878,229576,332450,554380,376100,301875
"138",2022-06-01,147826,194417,190937,231038,231031,335070,572418,380603,299771
"139",2022-07-01,151552,199323,194228,233487,237741,340723,575261,387054,309032
"140",2022-08-01,151747,200868,195533,237151,238546,344145,581320,390701,314238
"141",2022-09-01,152937,202921,196752,236940,240079,344762,579330,391553,314370
"142",2022-10-01,153663,202008,197361,237264,241762,344144,573946,391862,313800
"143",2022-11-01,153022,202872,198212,237753,239630,345454,575480,389960,313892
"144",2022-12-01,152252,200795,197647,237956,239619,342442,572384,388158,308957
"145",2023-01-01,150814,197527,191628,235315,237934,340655,570869,387727,309102
"146",2023-02-01,147783,196497,191681,232456,238586,340888,563875,383401,306826
"147",2023-03-01,144993,194453,187293,229868,230851,335589,555361,380362,303206
"148",2023-04-01,147442,194385,190374,230965,231640,331572,557147,379543,302791
"149",2023-05-01,146913,196419,189275,229615,233888,330394,554900,377989,302199
"150",2023-06-01,149448,197880,193446,232790,235260,332033,556107,377848,300808
"151",2023-07-01,150021,199014,195102,233810,237687,336474,559703,381968,306036
"152",2023-08-01,154429,200408,197800,235914,238205,335770,560630,381601,307132
"153",2023-09-01,151607,200657,194270,233437,239026,334941,565702,379338,304837
"154",2023-10-01,150966,200939,195381,232325,236787,331860,555122,377965,305147
"155",2023-11-01,150866,199536,193998,233029,235472,329462,547757,375344,299952
"156",2023-12-01,151215,200245,192662,229757,234452,326075,549112,367572,294676
"157",2024-01-01,147973,196802,191618,227053,232200,328802,551097,369326,299150
"158",2024-02-01,148690,196304,191087,227623,232662,324976,546247,367789,296587
"159",2024-03-01,147221,198378,192827,227703,231972,322950,547437,366875,295240
"160",2024-04-01,146629,198529,191916,227940,233571,325736,548467,369214,297850
"161",2024-05-01,149642,202747,193994,230613,236114,326196,553592,372808,298492
"162",2024-06-01,151871,201998,197974,228627,238654,325834,556853,373083,297239
"163",2024-07-01,151703,203585,197976,233319,239774,330577,557831,377066,301845
"164",2024-08-01,153344,207333,201999,234393,241151,332696,567071,381870,302962
"165",2024-09-01,156404,207866,199195,234792,242979,334241,567149,380535,304258
"166",2024-10-01,155979,208127,200904,237171,242179,335007,561247,381513,308303
"167",2024-11-01,156858,209534,202901,237251,244360,334060,560554,379143,302259
"168",2024-12-01,159606,209174,202794,239282,243105,334893,557079,381502,302596
"169",2025-01-01,157721,209386,201386,236238,242000,331957,565816,380949,301294
"170",2025-02-01,161386,210006,204760,238359,246306,333691,560921,380943,302592
"171",2025-03-01,168088,216945,210386,241293,248501,339281,554347,383386,306712
"172",2025-04-01,154841,202882,198427,233417,237537,327098,566642,375811,295777
"173",2025-05-01,158330,206960,202955,236753,242022,332652,558139,376673,299388
"174",2025-06-01,163629,212450,204285,238940,246991,338156,561718,383249,301803
"175",2025-07-01,163684,213266,205656,239830,247763,337650,561587,381764,306148
