"","datef","metric","percent"
"1",2005-01-01,"YoY_perc_change",NA
"2",2005-01-01,"MoM_perc_change",NA
"3",2005-02-01,"YoY_perc_change",NA
"4",2005-02-01,"MoM_perc_change",-0.1
"5",2005-03-01,"YoY_perc_change",NA
"6",2005-03-01,"MoM_perc_change",0.82
"7",2005-04-01,"YoY_perc_change",NA
"8",2005-04-01,"MoM_perc_change",1.42
"9",2005-05-01,"YoY_perc_change",NA
"10",2005-05-01,"MoM_perc_change",1.07
"11",2005-06-01,"YoY_perc_change",NA
"12",2005-06-01,"MoM_perc_change",0.79
"13",2005-07-01,"YoY_perc_change",NA
"14",2005-07-01,"MoM_perc_change",1.29
"15",2005-08-01,"YoY_perc_change",NA
"16",2005-08-01,"MoM_perc_change",0.41
"17",2005-09-01,"YoY_perc_change",NA
"18",2005-09-01,"MoM_perc_change",-0.16
"19",2005-10-01,"YoY_perc_change",NA
"20",2005-10-01,"MoM_perc_change",-0.2
"21",2005-11-01,"YoY_perc_change",NA
"22",2005-11-01,"MoM_perc_change",0.3
"23",2005-12-01,"YoY_perc_change",NA
"24",2005-12-01,"MoM_perc_change",0.55
"25",2006-01-01,"YoY_perc_change",6.2
"26",2006-01-01,"MoM_perc_change",-0.15
"27",2006-02-01,"YoY_perc_change",6.47
"28",2006-02-01,"MoM_perc_change",0.16
"29",2006-03-01,"YoY_perc_change",6.46
"30",2006-03-01,"MoM_perc_change",0.81
"31",2006-04-01,"YoY_perc_change",7.25
"32",2006-04-01,"MoM_perc_change",2.17
"33",2006-05-01,"YoY_perc_change",7.12
"34",2006-05-01,"MoM_perc_change",0.95
"35",2006-06-01,"YoY_perc_change",7.28
"36",2006-06-01,"MoM_perc_change",0.95
"37",2006-07-01,"YoY_perc_change",7.44
"38",2006-07-01,"MoM_perc_change",1.44
"39",2006-08-01,"YoY_perc_change",7.91
"40",2006-08-01,"MoM_perc_change",0.84
"41",2006-09-01,"YoY_perc_change",8.52
"42",2006-09-01,"MoM_perc_change",0.41
"43",2006-10-01,"YoY_perc_change",9.37
"44",2006-10-01,"MoM_perc_change",0.59
"45",2006-11-01,"YoY_perc_change",9.61
"46",2006-11-01,"MoM_perc_change",0.51
"47",2006-12-01,"YoY_perc_change",10.37
"48",2006-12-01,"MoM_perc_change",1.25
"49",2007-01-01,"YoY_perc_change",10.49
"50",2007-01-01,"MoM_perc_change",-0.03
"51",2007-02-01,"YoY_perc_change",10.63
"52",2007-02-01,"MoM_perc_change",0.28
"53",2007-03-01,"YoY_perc_change",10.59
"54",2007-03-01,"MoM_perc_change",0.78
"55",2007-04-01,"YoY_perc_change",10.42
"56",2007-04-01,"MoM_perc_change",2.02
"57",2007-05-01,"YoY_perc_change",10.64
"58",2007-05-01,"MoM_perc_change",1.15
"59",2007-06-01,"YoY_perc_change",10.8
"60",2007-06-01,"MoM_perc_change",1.09
"61",2007-07-01,"YoY_perc_change",10.6
"62",2007-07-01,"MoM_perc_change",1.26
"63",2007-08-01,"YoY_perc_change",10.32
"64",2007-08-01,"MoM_perc_change",0.58
"65",2007-09-01,"YoY_perc_change",10.01
"66",2007-09-01,"MoM_perc_change",0.13
"67",2007-10-01,"YoY_perc_change",9.12
"68",2007-10-01,"MoM_perc_change",-0.23
"69",2007-11-01,"YoY_perc_change",8.5
"70",2007-11-01,"MoM_perc_change",-0.05
"71",2007-12-01,"YoY_perc_change",7
"72",2007-12-01,"MoM_perc_change",-0.16
"73",2008-01-01,"YoY_perc_change",5.11
"74",2008-01-01,"MoM_perc_change",-1.8
"75",2008-02-01,"YoY_perc_change",3.91
"76",2008-02-01,"MoM_perc_change",-0.86
"77",2008-03-01,"YoY_perc_change",2.36
"78",2008-03-01,"MoM_perc_change",-0.73
"79",2008-04-01,"YoY_perc_change",0.5
"80",2008-04-01,"MoM_perc_change",0.17
"81",2008-05-01,"YoY_perc_change",-0.03
"82",2008-05-01,"MoM_perc_change",0.61
"83",2008-06-01,"YoY_perc_change",-2.42
"84",2008-06-01,"MoM_perc_change",-1.32
"85",2008-07-01,"YoY_perc_change",-4.69
"86",2008-07-01,"MoM_perc_change",-1.09
"87",2008-08-01,"YoY_perc_change",-7.22
"88",2008-08-01,"MoM_perc_change",-2.09
"89",2008-09-01,"YoY_perc_change",-9.67
"90",2008-09-01,"MoM_perc_change",-2.52
"91",2008-10-01,"YoY_perc_change",-11.29
"92",2008-10-01,"MoM_perc_change",-2.03
"93",2008-11-01,"YoY_perc_change",-13.74
"94",2008-11-01,"MoM_perc_change",-2.81
"95",2008-12-01,"YoY_perc_change",-14.93
"96",2008-12-01,"MoM_perc_change",-1.53
"97",2009-01-01,"YoY_perc_change",-15.37
"98",2009-01-01,"MoM_perc_change",-2.31
"99",2009-02-01,"YoY_perc_change",-15.62
"100",2009-02-01,"MoM_perc_change",-1.16
"101",2009-03-01,"YoY_perc_change",-15.53
"102",2009-03-01,"MoM_perc_change",-0.62
"103",2009-04-01,"YoY_perc_change",-14.9
"104",2009-04-01,"MoM_perc_change",0.91
"105",2009-05-01,"YoY_perc_change",-14.25
"106",2009-05-01,"MoM_perc_change",1.38
"107",2009-06-01,"YoY_perc_change",-12.25
"108",2009-06-01,"MoM_perc_change",0.99
"109",2009-07-01,"YoY_perc_change",-9.69
"110",2009-07-01,"MoM_perc_change",1.79
"111",2009-08-01,"YoY_perc_change",-6.85
"112",2009-08-01,"MoM_perc_change",0.99
"113",2009-09-01,"YoY_perc_change",-3.7
"114",2009-09-01,"MoM_perc_change",0.79
"115",2009-10-01,"YoY_perc_change",-1.04
"116",2009-10-01,"MoM_perc_change",0.67
"117",2009-11-01,"YoY_perc_change",2.17
"118",2009-11-01,"MoM_perc_change",0.34
"119",2009-12-01,"YoY_perc_change",4.43
"120",2009-12-01,"MoM_perc_change",0.66
"121",2010-01-01,"YoY_perc_change",6.51
"122",2010-01-01,"MoM_perc_change",-0.36
"123",2010-02-01,"YoY_perc_change",8.02
"124",2010-02-01,"MoM_perc_change",0.25
"125",2010-03-01,"YoY_perc_change",8.69
"126",2010-03-01,"MoM_perc_change",-0.01
"127",2010-04-01,"YoY_perc_change",9.1
"128",2010-04-01,"MoM_perc_change",1.28
"129",2010-05-01,"YoY_perc_change",8.13
"130",2010-05-01,"MoM_perc_change",0.48
"131",2010-06-01,"YoY_perc_change",7.6
"132",2010-06-01,"MoM_perc_change",0.49
"133",2010-07-01,"YoY_perc_change",6.77
"134",2010-07-01,"MoM_perc_change",1.01
"135",2010-08-01,"YoY_perc_change",5.73
"136",2010-08-01,"MoM_perc_change",-0.01
"137",2010-09-01,"YoY_perc_change",4.63
"138",2010-09-01,"MoM_perc_change",-0.26
"139",2010-10-01,"YoY_perc_change",2.78
"140",2010-10-01,"MoM_perc_change",-1.11
"141",2010-11-01,"YoY_perc_change",1.21
"142",2010-11-01,"MoM_perc_change",-1.19
"143",2010-12-01,"YoY_perc_change",0.37
"144",2010-12-01,"MoM_perc_change",-0.18
"145",2011-01-01,"YoY_perc_change",-0.1
"146",2011-01-01,"MoM_perc_change",-0.83
"147",2011-02-01,"YoY_perc_change",-0.88
"148",2011-02-01,"MoM_perc_change",-0.53
"149",2011-03-01,"YoY_perc_change",-1.33
"150",2011-03-01,"MoM_perc_change",-0.46
"151",2011-04-01,"YoY_perc_change",-1.06
"152",2011-04-01,"MoM_perc_change",1.55
"153",2011-05-01,"YoY_perc_change",-1.98
"154",2011-05-01,"MoM_perc_change",-0.44
"155",2011-06-01,"YoY_perc_change",-2.29
"156",2011-06-01,"MoM_perc_change",0.17
"157",2011-07-01,"YoY_perc_change",-2.05
"158",2011-07-01,"MoM_perc_change",1.26
"159",2011-08-01,"YoY_perc_change",-1.99
"160",2011-08-01,"MoM_perc_change",0.06
"161",2011-09-01,"YoY_perc_change",-1.98
"162",2011-09-01,"MoM_perc_change",-0.25
"163",2011-10-01,"YoY_perc_change",-1.97
"164",2011-10-01,"MoM_perc_change",-1.1
"165",2011-11-01,"YoY_perc_change",-0.74
"166",2011-11-01,"MoM_perc_change",0.05
"167",2011-12-01,"YoY_perc_change",-0.98
"168",2011-12-01,"MoM_perc_change",-0.42
"169",2012-01-01,"YoY_perc_change",-0.83
"170",2012-01-01,"MoM_perc_change",-0.68
"171",2012-02-01,"YoY_perc_change",-0.58
"172",2012-02-01,"MoM_perc_change",-0.27
"173",2012-03-01,"YoY_perc_change",0.18
"174",2012-03-01,"MoM_perc_change",0.3
"175",2012-04-01,"YoY_perc_change",-0.22
"176",2012-04-01,"MoM_perc_change",1.15
"177",2012-05-01,"YoY_perc_change",0.55
"178",2012-05-01,"MoM_perc_change",0.32
"179",2012-06-01,"YoY_perc_change",1.37
"180",2012-06-01,"MoM_perc_change",0.98
"181",2012-07-01,"YoY_perc_change",0.49
"182",2012-07-01,"MoM_perc_change",0.38
"183",2012-08-01,"YoY_perc_change",0.55
"184",2012-08-01,"MoM_perc_change",0.12
"185",2012-09-01,"YoY_perc_change",0.44
"186",2012-09-01,"MoM_perc_change",-0.36
"187",2012-10-01,"YoY_perc_change",0.85
"188",2012-10-01,"MoM_perc_change",-0.71
"189",2012-11-01,"YoY_perc_change",0.88
"190",2012-11-01,"MoM_perc_change",0.08
"191",2012-12-01,"YoY_perc_change",1.07
"192",2012-12-01,"MoM_perc_change",-0.23
"193",2013-01-01,"YoY_perc_change",1.09
"194",2013-01-01,"MoM_perc_change",-0.67
"195",2013-02-01,"YoY_perc_change",1.34
"196",2013-02-01,"MoM_perc_change",-0.02
"197",2013-03-01,"YoY_perc_change",1.65
"198",2013-03-01,"MoM_perc_change",0.6
"199",2013-04-01,"YoY_perc_change",1.48
"200",2013-04-01,"MoM_perc_change",0.98
"201",2013-05-01,"YoY_perc_change",1.69
"202",2013-05-01,"MoM_perc_change",0.53
"203",2013-06-01,"YoY_perc_change",1.53
"204",2013-06-01,"MoM_perc_change",0.83
"205",2013-07-01,"YoY_perc_change",2.28
"206",2013-07-01,"MoM_perc_change",1.12
"207",2013-08-01,"YoY_perc_change",2.97
"208",2013-08-01,"MoM_perc_change",0.8
"209",2013-09-01,"YoY_perc_change",3.41
"210",2013-09-01,"MoM_perc_change",0.07
"211",2013-10-01,"YoY_perc_change",3.72
"212",2013-10-01,"MoM_perc_change",-0.41
"213",2013-11-01,"YoY_perc_change",4.21
"214",2013-11-01,"MoM_perc_change",0.56
"215",2013-12-01,"YoY_perc_change",5.41
"216",2013-12-01,"MoM_perc_change",0.92
"217",2014-01-01,"YoY_perc_change",6.24
"218",2014-01-01,"MoM_perc_change",0.12
"219",2014-02-01,"YoY_perc_change",6.7
"220",2014-02-01,"MoM_perc_change",0.41
"221",2014-03-01,"YoY_perc_change",6.44
"222",2014-03-01,"MoM_perc_change",0.34
"223",2014-04-01,"YoY_perc_change",7.75
"224",2014-04-01,"MoM_perc_change",2.23
"225",2014-05-01,"YoY_perc_change",8.32
"226",2014-05-01,"MoM_perc_change",1.06
"227",2014-06-01,"YoY_perc_change",8.35
"228",2014-06-01,"MoM_perc_change",0.86
"229",2014-07-01,"YoY_perc_change",8.66
"230",2014-07-01,"MoM_perc_change",1.41
"231",2014-08-01,"YoY_perc_change",9.06
"232",2014-08-01,"MoM_perc_change",1.17
"233",2014-09-01,"YoY_perc_change",9.11
"234",2014-09-01,"MoM_perc_change",0.11
"235",2014-10-01,"YoY_perc_change",9.4
"236",2014-10-01,"MoM_perc_change",-0.15
"237",2014-11-01,"YoY_perc_change",8.42
"238",2014-11-01,"MoM_perc_change",-0.34
"239",2014-12-01,"YoY_perc_change",7.7
"240",2014-12-01,"MoM_perc_change",0.24
"241",2015-01-01,"YoY_perc_change",7.01
"242",2015-01-01,"MoM_perc_change",-0.52
"243",2015-02-01,"YoY_perc_change",6.65
"244",2015-02-01,"MoM_perc_change",0.08
"245",2015-03-01,"YoY_perc_change",6.68
"246",2015-03-01,"MoM_perc_change",0.37
"247",2015-04-01,"YoY_perc_change",5.28
"248",2015-04-01,"MoM_perc_change",0.88
"249",2015-05-01,"YoY_perc_change",5.3
"250",2015-05-01,"MoM_perc_change",1.08
"251",2015-06-01,"YoY_perc_change",5.2
"252",2015-06-01,"MoM_perc_change",0.76
"253",2015-07-01,"YoY_perc_change",5.5
"254",2015-07-01,"MoM_perc_change",1.7
"255",2015-08-01,"YoY_perc_change",5.23
"256",2015-08-01,"MoM_perc_change",0.91
"257",2015-09-01,"YoY_perc_change",5.34
"258",2015-09-01,"MoM_perc_change",0.21
"259",2015-10-01,"YoY_perc_change",5.63
"260",2015-10-01,"MoM_perc_change",0.14
"261",2015-11-01,"YoY_perc_change",6.81
"262",2015-11-01,"MoM_perc_change",0.77
"263",2015-12-01,"YoY_perc_change",6.91
"264",2015-12-01,"MoM_perc_change",0.34
"265",2016-01-01,"YoY_perc_change",7.76
"266",2016-01-01,"MoM_perc_change",0.27
"267",2016-02-01,"YoY_perc_change",7.72
"268",2016-02-01,"MoM_perc_change",0.04
"269",2016-03-01,"YoY_perc_change",8.42
"270",2016-03-01,"MoM_perc_change",1.03
"271",2016-04-01,"YoY_perc_change",7.88
"272",2016-04-01,"MoM_perc_change",0.37
"273",2016-05-01,"YoY_perc_change",7.97
"274",2016-05-01,"MoM_perc_change",1.17
"275",2016-06-01,"YoY_perc_change",8.17
"276",2016-06-01,"MoM_perc_change",0.96
"277",2016-07-01,"YoY_perc_change",7.49
"278",2016-07-01,"MoM_perc_change",1.05
"279",2016-08-01,"YoY_perc_change",6.52
"280",2016-08-01,"MoM_perc_change",0.01
"281",2016-09-01,"YoY_perc_change",6.14
"282",2016-09-01,"MoM_perc_change",-0.15
"283",2016-10-01,"YoY_perc_change",5.65
"284",2016-10-01,"MoM_perc_change",-0.33
"285",2016-11-01,"YoY_perc_change",5.33
"286",2016-11-01,"MoM_perc_change",0.47
"287",2016-12-01,"YoY_perc_change",5.16
"288",2016-12-01,"MoM_perc_change",0.18
"289",2017-01-01,"YoY_perc_change",4.76
"290",2017-01-01,"MoM_perc_change",-0.12
"291",2017-02-01,"YoY_perc_change",4.93
"292",2017-02-01,"MoM_perc_change",0.21
"293",2017-03-01,"YoY_perc_change",3.64
"294",2017-03-01,"MoM_perc_change",-0.21
"295",2017-04-01,"YoY_perc_change",4.89
"296",2017-04-01,"MoM_perc_change",1.58
"297",2017-05-01,"YoY_perc_change",4.31
"298",2017-05-01,"MoM_perc_change",0.6
"299",2017-06-01,"YoY_perc_change",4.2
"300",2017-06-01,"MoM_perc_change",0.85
"301",2017-07-01,"YoY_perc_change",4.46
"302",2017-07-01,"MoM_perc_change",1.3
"303",2017-08-01,"YoY_perc_change",4.92
"304",2017-08-01,"MoM_perc_change",0.45
"305",2017-09-01,"YoY_perc_change",4.69
"306",2017-09-01,"MoM_perc_change",-0.37
"307",2017-10-01,"YoY_perc_change",5.13
"308",2017-10-01,"MoM_perc_change",0.09
"309",2017-11-01,"YoY_perc_change",4.34
"310",2017-11-01,"MoM_perc_change",-0.28
"311",2017-12-01,"YoY_perc_change",4.56
"312",2017-12-01,"MoM_perc_change",0.39
"313",2018-01-01,"YoY_perc_change",4.32
"314",2018-01-01,"MoM_perc_change",-0.35
"315",2018-02-01,"YoY_perc_change",4.37
"316",2018-02-01,"MoM_perc_change",0.26
"317",2018-03-01,"YoY_perc_change",3.97
"318",2018-03-01,"MoM_perc_change",-0.6
"319",2018-04-01,"YoY_perc_change",3.32
"320",2018-04-01,"MoM_perc_change",0.96
"321",2018-05-01,"YoY_perc_change",3.13
"322",2018-05-01,"MoM_perc_change",0.41
"323",2018-06-01,"YoY_perc_change",2.94
"324",2018-06-01,"MoM_perc_change",0.67
"325",2018-07-01,"YoY_perc_change",2.88
"326",2018-07-01,"MoM_perc_change",1.24
"327",2018-08-01,"YoY_perc_change",2.73
"328",2018-08-01,"MoM_perc_change",0.31
"329",2018-09-01,"YoY_perc_change",2.92
"330",2018-09-01,"MoM_perc_change",-0.19
"331",2018-10-01,"YoY_perc_change",2.72
"332",2018-10-01,"MoM_perc_change",-0.1
"333",2018-11-01,"YoY_perc_change",2.57
"334",2018-11-01,"MoM_perc_change",-0.43
"335",2018-12-01,"YoY_perc_change",1.95
"336",2018-12-01,"MoM_perc_change",-0.22
"337",2019-01-01,"YoY_perc_change",1.68
"338",2019-01-01,"MoM_perc_change",-0.62
"339",2019-02-01,"YoY_perc_change",1.16
"340",2019-02-01,"MoM_perc_change",-0.25
"341",2019-03-01,"YoY_perc_change",1.49
"342",2019-03-01,"MoM_perc_change",-0.28
"343",2019-04-01,"YoY_perc_change",1.26
"344",2019-04-01,"MoM_perc_change",0.72
"345",2019-05-01,"YoY_perc_change",0.98
"346",2019-05-01,"MoM_perc_change",0.14
"347",2019-06-01,"YoY_perc_change",0.74
"348",2019-06-01,"MoM_perc_change",0.43
"349",2019-07-01,"YoY_perc_change",0.62
"350",2019-07-01,"MoM_perc_change",1.12
"351",2019-08-01,"YoY_perc_change",0.63
"352",2019-08-01,"MoM_perc_change",0.32
"353",2019-09-01,"YoY_perc_change",0.9
"354",2019-09-01,"MoM_perc_change",0.07
"355",2019-10-01,"YoY_perc_change",0.74
"356",2019-10-01,"MoM_perc_change",-0.26
"357",2019-11-01,"YoY_perc_change",0.81
"358",2019-11-01,"MoM_perc_change",-0.35
"359",2019-12-01,"YoY_perc_change",0.9
"360",2019-12-01,"MoM_perc_change",-0.13
"361",2020-01-01,"YoY_perc_change",1.59
"362",2020-01-01,"MoM_perc_change",0.06
"363",2020-02-01,"YoY_perc_change",1.26
"364",2020-02-01,"MoM_perc_change",-0.57
"365",2020-03-01,"YoY_perc_change",2.46
"366",2020-03-01,"MoM_perc_change",0.9
"367",2020-04-01,"YoY_perc_change",0.69
"368",2020-04-01,"MoM_perc_change",-1.02
"369",2020-05-01,"YoY_perc_change",1.07
"370",2020-05-01,"MoM_perc_change",0.52
"371",2020-06-01,"YoY_perc_change",2.02
"372",2020-06-01,"MoM_perc_change",1.38
"373",2020-07-01,"YoY_perc_change",1.75
"374",2020-07-01,"MoM_perc_change",0.85
"375",2020-08-01,"YoY_perc_change",2.41
"376",2020-08-01,"MoM_perc_change",0.98
"377",2020-09-01,"YoY_perc_change",3.43
"378",2020-09-01,"MoM_perc_change",1.06
"379",2020-10-01,"YoY_perc_change",4.57
"380",2020-10-01,"MoM_perc_change",0.84
"381",2020-11-01,"YoY_perc_change",6.02
"382",2020-11-01,"MoM_perc_change",1.02
"383",2020-12-01,"YoY_perc_change",6.99
"384",2020-12-01,"MoM_perc_change",0.78
"385",2021-01-01,"YoY_perc_change",7.65
"386",2021-01-01,"MoM_perc_change",0.69
"387",2021-02-01,"YoY_perc_change",8.23
"388",2021-02-01,"MoM_perc_change",-0.04
"389",2021-03-01,"YoY_perc_change",8.95
"390",2021-03-01,"MoM_perc_change",1.57
"391",2021-04-01,"YoY_perc_change",8.64
"392",2021-04-01,"MoM_perc_change",-1.3
"393",2021-05-01,"YoY_perc_change",8.54
"394",2021-05-01,"MoM_perc_change",0.43
"395",2021-06-01,"YoY_perc_change",13.2
"396",2021-06-01,"MoM_perc_change",5.73
"397",2021-07-01,"YoY_perc_change",6.88
"398",2021-07-01,"MoM_perc_change",-4.79
"399",2021-08-01,"YoY_perc_change",8.97
"400",2021-08-01,"MoM_perc_change",2.95
"401",2021-09-01,"YoY_perc_change",11.37
"402",2021-09-01,"MoM_perc_change",3.29
"403",2021-10-01,"YoY_perc_change",8.11
"404",2021-10-01,"MoM_perc_change",-2.11
"405",2021-11-01,"YoY_perc_change",8.66
"406",2021-11-01,"MoM_perc_change",1.53
"407",2021-12-01,"YoY_perc_change",8.12
"408",2021-12-01,"MoM_perc_change",0.28
"409",2022-01-01,"YoY_perc_change",9.23
"410",2022-01-01,"MoM_perc_change",1.72
"411",2022-02-01,"YoY_perc_change",9.16
"412",2022-02-01,"MoM_perc_change",-0.1
"413",2022-03-01,"YoY_perc_change",8
"414",2022-03-01,"MoM_perc_change",0.49
"415",2022-04-01,"YoY_perc_change",10.67
"416",2022-04-01,"MoM_perc_change",1.14
"417",2022-05-01,"YoY_perc_change",11.6
"418",2022-05-01,"MoM_perc_change",1.27
"419",2022-06-01,"YoY_perc_change",6.44
"420",2022-06-01,"MoM_perc_change",0.84
"421",2022-07-01,"YoY_perc_change",13.91
"422",2022-07-01,"MoM_perc_change",1.9
"423",2022-08-01,"YoY_perc_change",11.56
"424",2022-08-01,"MoM_perc_change",0.83
"425",2022-09-01,"YoY_perc_change",8.44
"426",2022-09-01,"MoM_perc_change",0.4
"427",2022-10-01,"YoY_perc_change",10.58
"428",2022-10-01,"MoM_perc_change",-0.18
"429",2022-11-01,"YoY_perc_change",8.87
"430",2022-11-01,"MoM_perc_change",-0.03
"431",2022-12-01,"YoY_perc_change",7.79
"432",2022-12-01,"MoM_perc_change",-0.72
"433",2023-01-01,"YoY_perc_change",4.77
"434",2023-01-01,"MoM_perc_change",-1.12
"435",2023-02-01,"YoY_perc_change",4.09
"436",2023-02-01,"MoM_perc_change",-0.76
"437",2023-03-01,"YoY_perc_change",2.45
"438",2023-03-01,"MoM_perc_change",-1.1
"439",2023-04-01,"YoY_perc_change",1.49
"440",2023-04-01,"MoM_perc_change",0.2
"441",2023-05-01,"YoY_perc_change",0.53
"442",2023-05-01,"MoM_perc_change",0.31
"443",2023-06-01,"YoY_perc_change",0.48
"444",2023-06-01,"MoM_perc_change",0.79
"445",2023-07-01,"YoY_perc_change",-0.44
"446",2023-07-01,"MoM_perc_change",0.97
"447",2023-08-01,"YoY_perc_change",-0.06
"448",2023-08-01,"MoM_perc_change",1.2
"449",2023-09-01,"YoY_perc_change",-0.88
"450",2023-09-01,"MoM_perc_change",-0.41
"451",2023-10-01,"YoY_perc_change",-1.33
"452",2023-10-01,"MoM_perc_change",-0.64
"453",2023-11-01,"YoY_perc_change",-2.11
"454",2023-11-01,"MoM_perc_change",-0.82
